"Metabolite name"	"m/z similarity"	"l2fc"	"p"
"Leucine_Enkephalin"	"1"	-6.71758943558907	0.232814886016897
"Leupeptin"	"0.98"	-0.751824369966221	0.221282257152914
"Levamisole"	"0.97"	1.95579989120666	0.0880413163319428
"Levetiracetam"	"0.68"	-0.501919219535629	0.16921687757403
"Lincomycin"	"0.94"	1.83878045719958	0.0412916753029855
"Lysine"	"0.85"	0.21982027877163	0.729538311028531
"MCPA"	"1.00"	2.58484123246417	0.382364902829714
"MCPB"	"0.99"	-0.0622530939945418	0.92863664137981
"Mactraxanthin"	"0.76"	0.284843374016067	0.0930450671388938
"Maltitol"	"0.98"	2.63749417234956	0.142726965735293
"Man3GlcNAc"	"0.93"	-0.269521875797179	0.716683704175509
"Mephedrone"	"1"	-0.466028488773314	0.112571075457438
"Metazachlor OXA"	"0.89"	-0.418814639470366	0.748273201919895
"Methionine"	"0.96"	0.182530415464832	0.832025704227022
"Methomyl"	"0.99"	-0.809201505103865	0.116887237263333
"Methoxyfenozide"	"0.95"	-1.32155998542719	0.00100030411574802
"Methylergonovine"	"0.97"	2.17375581351938	0.0996772498579826
"Methylprednisolone"	"1"	-0.91842313739134	0.489043116371988
"Metribuzin-diketo"	"0.76"	-1.42146243104563	0.0757400051866233
"Metronidazole"	"1"	0.165666797365994	0.81270893721096
"Morphine_3_Glucuronide"	"0.94"	-0.48709005790519	0.33225146963982
"Myxoxanthophyll"	"0.99"	2.45721086679519	0.0754967037442348
"N,N-Diethyl-4-hydroxybenzamide"	"1"	-0.0981774552544775	0.791335209965392
"N-Acetyl-DL-aspartic acid"	"0.72"	-3.52945258367034	0.186861788458397
"N-alpha-Acetyl-L-ornithine"	"0.99"	0.103615123216662	0.511302559883523
"NAD+"	"0.81"	2.81903272160979	0.0243258180486232
"Naringenin"	"0.94"	2.0934584651846	0.107257070181338
"Naringin"	"0.71"	1.57804919791383	0.04555388650016
"Neotame"	"0.64"	-0.58274257676375	0.17870534292649
"Nicosulfuron"	"0.68"	-0.479815653456813	0.0113955267027839
"Nicotinoylcholine"	"0.93"	0.832140466734277	0.0867930849345774
"O-Phospho-L-serine"	"0.61"	0.0233951589020716	0.826257757709794
"Oseltamivir"	"1"	-0.140857866543467	0.905744528434284
"Paracetamol"	"1"	0.0778798458704654	0.44183982200734
"Pentamidine"	"0.95"	-0.0581054556296858	0.920164411589559
"Peridinin"	"0.87"	2.43770976051462	0.127988162419481
"Pethoxamide"	"1"	1.24506152569843	0.0232937213101925
"Petunidin"	"0.94"	0.396924426086602	0.633286929206143
"Phenmedipham"	"0.95"	0.321338267994869	0.0974593708796775
"Phenylalanine"	"0.86"	-1.06186651555949	0.0569342343873501
"Phloretin"	"0.68"	0.611765235358114	0.254201036999123
"Phosphatidylethanolamine 16"	"0.94"	-1.70468804563849	0.465613815868659
"Phosphatidylethanolamine lyso 18"	"0.99"	0.357956652640809	0.800222860024348
"Phosphatidylinositol 16"	"1.00"	1.09274933779855	0.0528157719364717
"Phosphatidylinositol 18"	"0.97"	-0.869793190042	0.00338854583847623
"Phosphatidylinositol lyso 18"	"0.96"	1.75872683180589	0.1000646282522
"Phosphoenolpyruvic acid"	"0.93"	0.010898792584042	0.756739070632293
"Phthalic anhydride"	"0.96"	0.349388064334	0.298090695917498
