Gene_stable_ID	Gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj	Description
YNL078W	NIS1	516.03968156794	-0.553194633785104	0.184989188302797	2.21362217478243e-05	0.00167495130568209	Protein localized in the bud neck at G2/M phase; physically interacts with septins; possibly involved in a mitotic signaling network
YNL112W	DBP2	5176.15224630341	0.603648154792563	0.434752931305279	0.0016689554890624	0.0303780997558843	ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; interacts with YRA1; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites
YNL113W	RPC19	299.188967890175	0.62683703489494	0.466637504404614	0.00146455196364102	0.0276004471347268	RNA polymerase subunit AC19; common to RNA polymerases I and III
YNL117W	MLS1	2161.29274777244	-0.968046417759611	0.453047014468055	0.000103789245612515	0.00484170583880718	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
YNL123W	NMA111	823.308979196699	0.741200257775141	0.27230461772278	4.75409808546949e-05	0.00296423073180177	Serine protease and general molecular chaperone; involved in response to heat stress and promotion of apoptosis; may contribute to lipid homeostasis; sequence similarity to the mammalian Omi/HtrA2 family of serine proteases
YNL132W	KRE33	951.078043194712	0.867907193712633	0.425148033250352	0.000187776212131868	0.00702910480943289	Protein required for biogenesis of the small ribosomal subunit; heterozygous mutant shows haploinsufficiency in K1 killer toxin resistance; essential gene; NAT10, the human homolog, implicated in several types of cancer and premature aging.
YNL144C	YNL144C	1929.77000251242	-0.355816148669474	0.104828694089274	4.24927517549604e-05	0.00270706541343286	Putative protein of unknown function; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; contains a PH domain and binds phosphatidylinositols and phosphatidylethanolamine in a large-scale study; YNL144C has a paralog, YHR131C, that arose from the whole genome duplication
YNL162W	RPL42A	1533.67007475078	0.658600418496519	0.340831566609918	0.000487221376141536	0.0132203911368775	Ribosomal 60S subunit protein L42A; homologous to mammalian ribosomal protein L36A, no bacterial homolog; RPL42A has a paralog, RPL42B, that arose from the whole genome duplication
YNL163C	RIA1	1324.88386851131	0.392050907812692	0.226206122521865	0.00307804728696949	0.0454419021383582	Cytoplasmic GTPase/eEF2-like factor involved in ribosomal biogenesis; with Sdo1p, a guanine nucleotide exchange factor (GEF), promotes release of Tif6p from 60S ribosomal subunits in the cytoplasm so that they can assemble with 40S subunits to generate mature ribosomes; required for quality control check of newly made large ribosomal subunits before they are released into the pool of translating ribosomes
YNL182C	IPI3	354.140048782012	0.53343344682951	0.397111445362586	0.00268802376959424	0.0422372850230345	Component of the Rix1 complex and pre-replicative complexes (pre-RCs); required for processing of ITS2 sequences from 35S pre-rRNA; component of the pre-60S ribosomal particle with the dynein-related AAA-type ATPase Mdn1p; required for pre-RC formation and maintenance during DNA replication licensing; highly conserved protein which contains several WD40 motifs; IPI3 is an essential gene; other members include Rix1p, Ipi1p, and Ipi3p
